Begin_Date,Title,Company,Station,Epesodes,Character_count,Character_count_no_space
4/2/17,つぐもも,ゼロジー,ANIMAX,12,4,4
4/3/17,ゴー!ゴー!キッチン戦隊クックルン（3代目）（実写+アニメ）,ODDJOB,NHK Eテレ,175,30,30
4/3/17,僧侶と交わる色欲の夜に…,セブン,TOKYO MX、AT-X,12,12,12
4/3/17,世界の闇図鑑,ILCA,TX,13,6,6
4/3/17,ベイブレードバースト ゴッド,OLM,TX,51,14,13
4/3/17,アキンド星のリトル・ペソ,ファンワークス,TOKYO MX,12,12,12
4/3/17,笑ゥせぇるすまんNEW,シンエイ動画,TOKYO MXほか,12,11,11
4/4/17,スタミュ（第2期）,C-Station,TOKYO MXほか,12,9,9
4/4/17,フレームアームズ・ガール,ZEXCS、studio A-CAT,TOKYO MX,12,12,12
4/4/17,アイドルタイムプリパラ,タツノコプロ、同友A&E,TX,51,11,11
4/4/17,少年アシベ GO! GO! ゴマちゃん（第2期）,ブリッジ、フウシオスタジオ,NHK Eテレ,32,24,21
4/4/17,ロクでなし魔術講師と禁忌教典,ライデンフィルム,AT-X、TOKYO MXほか,12,14,14
4/4/17,アイドルマスター シンデレラガールズ劇場（第1期）,ギャザリング,TOKYO MX,13,25,24
4/4/17,オトナの一休さん（第2期）,NHKエデュケーショナル,NHK Eテレ,13,13,13
4/5/17,王室教師ハイネ,ブリッジ,TX,12,7,7
4/5/17,ねこねこ日本史（第2期）,ジョーカーフィルムズ,NHK Eテレ,32,12,12
4/5/17,まけるな!!あくのぐんだん!,タツノコプロ,独立局,12,14,14
4/5/17,ラブ米 -WE LOVE RICE-,エンカレッジフィルムズ,TOKYO MXほか,12,18,15
4/5/17,武装少女マキャヴェリズム,SILVER LINK.、CONNECT,AT-X、TOKYO MX,12,12,12
4/5/17,サクラダリセット,david production,TOKYO MXほか,24,8,8
4/6/17,サクラクエスト,P.A.WORKS,AT-X、TOKYO MX、ABC,25,7,7
4/7/17,月がきれい,feel.,TOKYO MX、MBS,12,5,5
4/7/17,パンパカパンツ おNEWさん,DLE,SBS,24,14,13
4/7/17,カブキブ!,スタジオディーン,TBS,12,5,5
4/7/17,クロックワーク・プラネット,XEBEC,TBS,12,13,13
4/7/17,恋愛暴君,EMTスクエアード,TX,12,4,4
4/7/17,リルリルフェアリル 〜魔法の鏡〜,スタジオディーン,TX,51,16,15
4/7/17,ひなこのーと,パッショーネ,AT-X、TOKYO MXほか,12,6,6
4/7/17,兄に付ける薬はない!,イマジニア、ファンワークス,TOKYO MX,12,10,10
4/7/17,ツインエンジェルBREAK,J.C.STAFF,TOKYO MXほか,12,13,13
4/7/17,ベルセルク（第2期）,GEMBA、ミルパンセ,WOWOW、MBS,12,10,10
4/7/17,正解するカド KADO:The Right Answer,東映アニメーション,TOKYO MX、BSフジほか,12,28,25
4/7/17,あはれ!名作くん（第2期）,Pie in the sky,NHK Eテレ,39,13,13
4/8/17,信長の忍び 〜伊勢・金ヶ崎篇〜,トムス・エンタテインメント,TOKYO MXほか,26,15,14
4/8/17,神撃のバハムート VIRGIN SOUL,MAPPA,MBS,24,20,18
4/8/17,境界のRINNE（第3期）,ブレインズ・ベース,NHK Eテレ,25,13,13
4/8/17,Re:CREATORS,TROYCA,TOKYO MX、BS11ほか,22,11,11
